Topic,Count,Name,Representation,Representative_Docs
24,30,24_use_electronics_screen_better,"['use', 'electronics', 'screen', 'better', 'zoom', 'product', 'does', 'lens', 'work', 'albums']","[""Try them. You will love them. Guaranteed.<br /><br />I've been using iCloths for several years now. They are the perfect phone screen cleaner, hands down!! I've tried other products from dry cloths, to alcohol rubs, to my t-shirt, nothing else comes close to clearning so thoroughly. One cloth is plenty!!<br /><br />They may see a little too dry to work when you are first using them. Don't worry. They are the perfect moistness.<br /><br />A trick. One side of the cloth is more rough than the other. Use the rough side to clear the phone screen. It works much better than the smoother side.<br /><br />I fold the cloth in half so there are two of these rough sides. I use one side to do the initial cleaning and the other side to do the final - perfection clean.<br /><br />Then, I fold the cloth inside out to clean off my finger tips before discarding the cloth.<br /><br />A suggestion - could you make a biodegradable wrapper?<br /><br />The price varies between 10 and 17 cents. Obviously, it's better when you get them for the lower price by buying a larger quantity."", ""I've been wearing reading glasses for years. But since I hated having to take them on/off all the time, I recently got prescription bifocals so I could leave them on all the time. I am shocked at how dirty they get! When the lenses have smudges and finger prints on them, it's really difficult to see through them and I have found it causes eye strain. I have a few microfiber cloths that have come free with purchase, but they are all boring gray or black colors and some of them are on smaller than I would prefer. The size of these cloths is perfect! Not too small or too big. I love the sweet, pastel colors too. I keep one in my purse, one in my desk at work, one in the living room next to my recliner and one on my night stand. They do a great job of cleaning the smudges off of my lenses and providing a clean view."", ""I am at that age where I can't read anything without my reading glasses. I have several pairs of glasses through out the house. And all of those glasses are covered in smudges & finger prints. Every once in a while I would use my shirt to wipe the smudges away and I know that's a big no-no. Now with 7 new microfiber cleaning cloths, I can have nice & clear lenses! I put one cloth in my purse, another in my sunglasses case, one in my kindle case, another one on my bedside table, and I still had some to share with my family. Somewhere I received a tiny cleaning cloth with something I purchased & it was too small for me. It was about 2 inches x 2 inches. I ended up throwing it away because it was too difficult to use. Plus that cloth left tiny flecks of lint on my glasses. These are a nicer, larger size which is perfect for cleaning my large trendy sunglass lenses. It leaves no lint and removes all smudges effortlessly.""]"
25,30,25_durable_worth_recommended_highly,"['durable', 'worth', 'recommended', 'highly', 'friendly', 'free', 'product', 'fantastic', 'manageable', 'described']","['Perfect fit to the phone.', ""I ordered this by mistake and when it arrived I was flabergasted. it is HUGE. I didn't send it back since it was my mistake. after a week of using it, no one could take it from me! it's fantastic. even my son is wanting one now. I highly recommend the seller."", 'Did not fit, returned']"
26,29,26_recommend_kindle_expensive_design,"['recommend', 'kindle', 'expensive', 'design', 'gift', 'beautiful', 'touch', 'covers', 'buttons', 'protects']","['The Verso ""Profile"" standing cover for Kindle Fire HD 8.9"" fits my Kindle snuggly, is attractive and works as designed in a standing mode (I actually watched a movie using the Kindle an this cover stand last weekend). It\'s attractive, but you can tell it\'s not leather (very vinyl looking and does have a vinyl smell to it). However, it is solid product and protects the Kindle well.I like the black since it goes with everything.', ""The bands are elastic, I much prefer the case that I purchased for my regular kindle vs this one. This one has elastic straps to hold in the paperwhite whereas the leather kindle holder for my other kindle allow the kindle to slip into it more securely and very snug fitting. The Snoopy Folio case has a snug fit but not as form fitted as the other one. I'm looking forward to amazon selling a case for the Kindle Paperwhite that is as secure as for the regular kindle.<br /><br />This one is expensive and will do in a crunch. I only recommend it because there isn't a better one out there yet."", ""Since I wanted to protect my investment in a Kindle Touch, I ordered this cover. I am glad I did. It fits my Kindle Touch perfectly. The four corner straps secure it to the cover, and there is an elastic strap at the lower end that fits around the entire case, making the Kindle impervious to attack by foreign objects in your bag, backpack, what-have-you.<br /><br />I agree with others who have said the cover is a bit pricey, but if you love your Kindle Touch as much as I love mine, you will want to protect it for many years to come with this sturdy jacket.<br /><br />When I purchased the cover, I wondered if the flip design would get in my way. Not to worry. I find myself so focused on what I am reading that I don't even think about it being there.<br /><br />Do not expect to stand the cover up with the Kindle in it. Despite the rubber strips on each end, the cover will slide. Not good.<br /><br />All things said, I recommend this cover. The first (and I hope last) time your Kindle slips out of your hand, you will be glad you have a modicum of protection if the cover is open, and a lot of protection when it is closed and secured.""]"
27,26,27_durability_quality_sound_hearing,"['durability', 'quality', 'sound', 'hearing', 'lasts', 'pricey', 'battery', 'purchase', 'phonebr', 'amp']","['got today it connected to my computer and it sounds amazing im ordering the 2nd one i loveeeeee it !! so small and amazing sound', 'amazing sound for the price', 'This is nice. Great sound.']"
28,25,28_quality_ipad_pro_sound,"['quality', 'ipad', 'pro', 'sound', 'use', 'videos', 'port', 'ipodtype', 'standard', 'nice']","[""My daughter has an older, iPhone 6. The headphone jack on her phone broke several months ago, so she has not been able to listen to music using headphones for a while. We got an estimate for repairing it, but she doesn't want to spend the money on it. I saw this and wondered if it would help solve that problem for her. Since it uses a lightening cable, we thought we would give it a try. It works wonderfully with her phone. She is very happy to be able to listen to music again without the use of a portable speaker. She is also able to charge her device at the same time. The sound quality is good and there has been no hissing or feedback."", 'This DAMFEYA APPLE CERTIFIED LIGHTNING TO 3.5MM HEADPHONE JACK ADAPTER DONGLE (for iPhone, iPad, iPod) really works! It eliminates the need to purchase Bluetooth earbuds/headphones for any late-model Apple product that has a lightning cable port but lacks an audio jack.<br /><br />To use the dongle, you plug it into your device’s lightning port, then plug your cabled earbuds/headphones into the dongle. Sound levels and playback are controlled by the Apple iOS.', 'Update: so, a little over a year later, this device does not hold a charge very long anymore. I’d be lucky if it lasts a couple of hours. I’m actually surprised it lasted this long but i’d say I got my moneys worth out of it! I use this product on my GL1500 Honda Goldwing. Since my iPhone 7 does not have a headphone jack, I bought this so I can plug my auxiliary cable out of my radio into this device and I am able to stream all of my stuff from my phone via the Bluetooth feature. I bought this particular brand because it was a little cheaper than the Griffin brand, but it is basically the same thing and so far the battery life seems pretty good for such a small device. It seems to last about 3 to 4 hours before needing a recharge. I use it for music and GPS.']"
29,25,29_usable_very_good_absolutely,"['usable', 'very', 'good', 'absolutely', 'about', 'used', '3g', 'work', 'what', 'really']","['This tablet is a great concept for having small tablets. I really enjoy the peace of mind that if the grandkids want to watch a movie on this, it has safe search settings for them to use. And if they are eating or drinking, more then likely they will be spilling something or leaving wonderfully adorable fingerprints all over this. So with it being water ‘resistent’, I am not to concerned about cleaning it afterwards. The battery life appears to be holding up quiet well. I have not used an android device very much but the “Ok Google” to start the voice activation is REALLY awesome!! Makes searching for recipes, music, videos, books or anything else online really convenient!!<br /><br />Once you sign into a google account, the device pretty much sets itself up without much hassle of having to create multiple new logins for different companies.<br /><br />The expandable memory slot is a really nice addition for adding a micro-SD, ive noticed they have dropped the prices on those so its very simple to make room or add media from a main computer.<br /><br />Cons: (so far)<br />A downside to this, because of the size, the screen resolution is a bit odd. And when looking at high resolution images, they still appear somewhat grainy.<br /><br />I think overall, for the price of this tablet, its an incredible deal, especially if you have kids that are starting to get on the internet, the kids safe option is a serious peace of mind at least for my family!', 'Listen, for the price, it\'s good. It\'s a reader, not really a tablet, but Amazon sort of marketed it to compete as a tablet. As a reader, it\'s exceptional. As a tablet it needs some work. Be prepared... there are glitches, app failures, files that cannot be loaded or used, no external volume control, once you put in in a ""cover/holder"" it is difficult to use the controls, you cannot delete files you have looked at without removing all and even though I SHOULD be able to access my paid Dishnet online account to play movies, I cannot on the fire because it will not accept a tiny video enhancement file. Further, I get a lot of ""connection error"" tabs when accessing the web or app store and more recently, it just freezes up. The only remedy at that point is to push and hold the power button.<br />I just heard they have a new version next Spring and they are supposedly working on software upgrades for the current release. It would be nice to have a camera so that you could Skype. On the ""up side""? I watched a free video (provided via ""Prime"" subscription. The video was flawless. Some ""apps"" are great and work well... about 1/2 do not.... I\'m a glass 1/2 full kinda gal, so I consider this on the ""up side."" Some have complained saying it is too easy to turn off the kindle fire... I don\'t find this to be an issue.<br />I\'ve updated my review to say that as a reader, the Fire rocks. As a tablet, you probably want something more reliable and solid.', 'I own a Amazon fire phone could not get apps from Google. Bike, jog, use a treadmill. I kept my previous Motorola smartphone used the apps for biking used Amazon fire phone for music from Spotifi. I use you tube visual walking and jogging videos. WELL, no I have this beautiful 10 inch pad. Can not accessible my Spotifi anymore for free. I really miss my German music. Can not access. Can not access even when I punch up Google, virtual youtube walking tapes, I love : Bejeweled 3 wanted to buy it, for this tablet, will not let me. I was stupid, 4 Persons told me, I would have no problems, getting my apps. I see some apps in Google, can not install them. Google has the best apps for fitness,jogging,biking,walking. What ever I put in to search, never comes up right. I getting all these games who come up. Can I get rid of them? Also apps are not on the open page: Bing, Microsoft, Google for easy access,everything has to be punched in. I had this tablet only five days, it frustrates me, that Amazon makes my decision. I purchased this for one reason,now I still use my Motorola now for the exercise apps. I will keep it. But if you individual exercise where you put your pad in your treadmill and jogging with beautiful surroundings. Forget it. I would love to have at least Bing handy to get to it fast. My neighbor now tells me I should have bought Samsung for what I wanted. I recommend this Amazon pad, to anyone who does not exercise,than I give it. 5Star, I love Amazon. (Excuse my English)']"
30,24,30_fit_ipod_purse_airpod,"['fit', 'ipod', 'purse', 'airpod', 'itjust', 'case', 'cases', 'clasp', 'will', 'leather']","[""I agree with most of the other reviews on here. The case is really quite nice, well made quality leather and fits the ipod snugly. Makes a beautiful, classy appearance to the eye. Only complaint is the fact that you have to remove the ipod from the case (which is not an easy task) every time you want to connect it to your computer. I haven't been as daring as everyone else in trying to 'doctor' up the case (by slicing through the leather) and don't think I will try it. I will use it as is."", 'Very sturdy and well made. My AirPods fit snugly into the case and the cases latching button is magnetic and closes easily and is very secure. The charging light is visible as there is an opening for it built into the case so you can see when it is light up red or green and the charging port is accessible so you don’t have to remove them to charge them. They clasp onto my purse sturdily and I have no worries about them becoming dislodged from my purse and getting lost. If you want to use a different clasp it’s interchangeable with one of your choosing of the same size. Great quality for a great price. HIGHLY RECOMMEND!!', 'We purchased this case for our new TI 84 Silver C graphing calculator, and we are glad we did. The case is very nice looking--not flashy, just a rich brown color. It seems durable and well made. The calculator is large, and the fit is very snug, but you really do not want your calculator shifting in its case, so this is fine. Just do not be discouraged if you find it hard to insert the calculator. You will be glad for the snug fit eventually. Highly recommended.']"
31,24,31_as_very_quality_excellent,"['as', 'very', 'quality', 'excellent', 'does', 'great', 'model', 'resturant', 'bff9v2', 'sound']","[""This was much heavier and larger than I expected. It would be nice if it had a carrying handle on top, but since it runs on house current and not batteries, it's not portable, so the handle would only be useful for moving it. The weight is probably because of the high quality built-in speakers. The sound quality is excellent, compared to even good quality computer speakers. It also sounds better than my stereo speakers. The manual leaves a little to be desired, but the system is pretty easy to operate and most operations are intuitive. The biggest disappointment I had is that the AM radio does not work; it is apparently set up for European standards and won't work in the U.S. from what I was able to find out. It is disclosed in the description that AM is not available in the U.S. It does get FM stations with good fidelity and has an FM aerial. There is an external input on the back, so you can play through the unit, which you might want to do because of the good sound quality. They also include a connecting cable for this, which is a nice bonus. Unfortunately no external output, which could be handy, but not a necessity. Just insert a CD and it starts playing the CD right away. Insert a USB stick and it starts playing any audio files on the stick. At first I thought there was no slot for a USB stick, as it is not identified that way in the manual; it is identified as a phone charging port, a U disk port (maybe they meant USB) and for I-Pod reading. This is just a one-CD at a time system; would be great if it could take multiple CDs. The remote is okay and has all the functions you'll need, but is a little confusing at first. I didn't test the Bluetooth connection capability to a cell phone, as I don't think I would use that function. If you want a really nice sounding CD player than also handles other audio files on a USB or SD card that also has FM radio and you don't care about the AM radio not working, this is worth getting. Would give this 5 stars if the AM radio worked. This is actually a VW automobile disk player that has been converted by putting a wooden case around it and adding quality speakers; very clever idea, especially since this is a pretty decent CD player. Also they include a demo CD with 18 tracks of popular well known songs, which is another bonus."", ""I got this to compare it with the upgraded Greatone emergency radio. The two models are similar, with the main difference being that this version has fewer features. This is somewhat more compact than the upgraded model but still has good features. I couldn't get good reception on it from one of the strongest AM stations in my area. FM seemed to come in much clearer. I found one clear WB (weather band) station. I wouldn't expect top quality sound, as the radio is quite small and compact. As an emergency radio, this is excellent. You can charge it with a manual crank, although it takes a LOT of cranking (no different than most radios that charge this way); a solar panel (which I haven't tried yet) or you can charge it from a USB connection. The USB cable is included for that. If the internal lithium ION rechargeable battery should happen to become discharged before you can get it charged again, you are out of luck, until you can recharge it one of the 3 ways available. The upgraded version has conventional battery backup, which is better. On this version, if the rechargeable battery ever dies completely, there is a door with a screw that you can remove to access and replace the battery. (It should last a very long time and not need replacement.) Other features: has an external charging port for a USB device (such as your cellphone) and a light on the end, controlled with a push button switch. The on/off, volume knob turned easily, but the tuning knob was a little hard to turn. If conventional battery backup is not important to you, this radio compares favorably to the upgraded version."", ""I got this for two reasons: 1-To listen to AM radio and 2-To have a good emergency radio. Probably won't use it much for listening to radio because the sound quality is very poor. I couldn't get good reception from one of the strongest AM stations in my area. FM seemed to come in much clearer. I found one clear WB (weather band) station. I wouldn't expect top quality sound, as the radio is quite small and compact. As an emergency radio, this is excellent. You can charge it with a manual crank, although it takes a LOT of cranking (no different than most radios that charge this way); a solar panel (which I haven't tried yet) or you can charge it from a USB connection. The USB cable is included for that. If the internal lithium ION rechargeable battery should happen to die or become discharged, there is a compartment for 3 conventional AAA batteries. There is a switch to use either the rechargeable battery or the AAA batteries (not included). There are two lights on this radio. When you raise the solar panel there is a bright light that comes on. There is also a light on the end of the radio, controlled with a push-button switch. Other features: has a button to turn on an alarm; has a headphone jack, has an external charging port for a USB device (such as your cellphone). I like this little radio a lot and there is a lot of features packed into it. The ONLY criticism I have is that both the tuning and the volume knobs don't turn very easily; they are very hard to turn. That's why I knocked off one star on my otherwise 5-star rating.""]"
32,24,32_rvbr_usebr_adapter_awaybr,"['rvbr', 'usebr', 'adapter', 'awaybr', 'backing', 'adapters', 'drivingbr', 'wide', 'works', 'camperbr']","['Easy set up and looks great!', 'Love it. Easy to set up, easy to read', 'So easy to use and set up...']"
33,22,33_firestick_hdmi_hd_firetv,"['firestick', 'hdmi', 'hd', 'firetv', 'tv', 'seldombr', 'stations', 'station', 'roku', 'firesticks']","[""The Fire HD 8 (gen 5) had screen mirroring. This Fire HD 8 (gen 6) does not. Screen mirroring is an android function that allows you cast exactly what is on the tablet screen and the audio to a TV wirelessly. Removal of this feature was unexpected and was the main reason I bought this as I'd read that was in the Fire HD 8. But not in this one."", 'I have a whole handful of fire sticks - but who knew that this fire stick could help you get Disney+ on your older than 3 year old Samsung TV?? ALSO a bonus... you can watch your paid HBO Amazon subscription on your TV through your new fire stick too. WELL worth the investment. 100% less frustration. Thank you Amazon fire stick!', 'TV with Amazon Fire is a disaster, slow to switch and terrible for installation. I have 2 other TV with Roku no problems, shows rewind if you miss a minute, this Fire TV is not fast and kicked you out. If you search for a news station like Newsmax Amazon will kick you out and tell you NO INTERNET. ROKU has these station right on their screen you do no have to search and the searching for stations is not easy on Amazon. I just went on my Roku TV and do not have half the commercials on News max and my favorite stations. I could go on and on never thought Roku was smarter than Amazon. Now I know Amazon does not like us to see some stations. I am a huge Amazon fan they get lots of money, I buy 90% from them. But their Fire TV stinks. I am also sad Amazon is to involved in politics they push to much black movies. I am an immigrant nothing against blacks but I love my culture I came from and wished Amazon staying away from politics because I am a great customer. This is the first product from Amazon I gave a bad review.']"
34,21,34_needs_happy_great_extremely,"['needs', 'happy', 'great', 'extremely', 'nice', 'just', 'very', 'this', 'amazing', 'excellent']","['Easy to use . great value too', 'easy to use and great price', 'I like it easy to use...']"
35,21,35_brighter_light_lighting_very,"['brighter', 'light', 'lighting', 'very', 'bright', 'lamp', 'about', 'lightbr', 'led', 'works']","['These MR. BEAMS AMBER LED NIGHT LIGHTS (MB710A-WHT-03-00; White, 3-Pack) can be mounted with adhesive or screws (both included). They fit flat against a wall, inconspicuously, and supply a surprising amount of light. The motion sensors are excellent, and only work in very dim light or darkness, so they only turn on when light is actually needed.<br /><br />Each night light uses 4 AAA batteries (not included). The amber light is very pretty, and makes a nice change from standard white motion-sensor lighting. I have several different types of Mr. Beams motion-sensor lights, and have always been very happy with their performance. The batteries last for 2 months or more, depending on how often the lights are activated.<br /><br />I use Mr. Beams motion-sensor lights in bathrooms and hallways. Because they’re battery-operated, they’re especially nice to have in place if the power goes out unexpectedly at night.', ""This solar powered light works wonderfully! My husband installed it at the top of our deck stairs on the railing. There are 3 different modes of use. We decided to use the motion detecting mode. Our dog is getting older and her vision is not as good as it used to be. Because of the location of our light switches, we usually open the door first before turning the light on. With our new Mpow solar powered light, she activates that light before we flip the switch. The light only lasts for 15 seconds, but that gives her enough time to see where she is going until we've flipped the switch. This was easy to install and it's easy to use. This provides an excellent source of light.<br /><br />*I was provided with this solar powered LED light for free directly from Mpow. My thoughts & opinions are my own."", 'I have never bought anything, or knew about “Mr. Beams” before, and I wish I knew about these lights before.<br />There easy to install, and they do Work great.<br /><br />I have 3 boxes of Security Spotlights sitting (from Lowes) in my garage for over 6 months that have to be electrically installed!<br />Which means I have to call a electrician, as my husband is Not handy. I’m sure it will cost me over<br />$100.00 to install those.<br /><br /> But Mr. Beams is easy to install. Even my husband can do this.<br />It takes 4 D batteries for each light.<br />The plastic is strong. In a little plastic bag are the screws with plastic things to insert the screws into..<br /><br />The back plastic plate slips off , then there is 4 large plastic type screws.<br />Unscrew, put in your batteries, “flat side down on the springs, very easy” put your screws back in..A 5 yr old can do this.<br /> But my husband then had to get up on a ladder, mark off where you want this to go, drill little holes to screw in the back plate.<br />Now that the plate is screwed to the house , or where you want it, slip on Mr. Beams lights, move the side lights at<br />to what angle you want the light to shine on, get off the ladder,<br />You are Done, and No Electrician. No more $$$$$$.<br /><br />These lights are allot brighter then we thought.<br />Great for when the kids get out of there car to walk to the door, Brighter then the two lights I have on both sides of the garage doors.<br />The light stays on for about 30 seconds, but if you are still in the Beam, it will stay on longer, which is a plus for us, when you are<br />carry babies, its raining, its snowing (hopefully) or using the code to get into the garage to come into the house.<br /><br />Also if the power goes off, you will still have light, what a plus for us.Yay.<br /><br />I live on a few acres in the mountains, Ca. Gets VERY dark here at night although we do have some outdoor lights.<br />We had a power outage for 9 days here a few years ago, which is along time.<br />We used a generator for the frig & freezer, bathrooms etc.(gas cost about 200.00 or more using the generator) but outside it was pitch dark.<br /> I wish we would have known about Mr. Beams before, it would have made our life allot easier, needless to say.<br /><br />Btw, buy good batteries they last longer, and to replace them in this is very easy.<br />We keep a supply of different batteries.<br />We will be buying more battery run outdoor lights from Mr. Beams.<br /><br />It said these are also water proof.<br /> This is a 5 star. If these do not last long,or not water proof, I will be back to up date this review.']"
36,21,36_case_noise_humming_comfortablehowever,"['case', 'noise', 'humming', 'comfortablehowever', 'laptop', '120mm', 'great', 'bought', 'enthused', 'additional']","['This is a great little desktop fan. Very quite and has sends good breeze. I wish the cord was a bit longer and the buttons were in the side or front. Otherwise a perfect desk fan. My headset mic doesn’t pick up the fan noise.', ""I have an new Alienware laptop that seems to always be running fans at max speed, and the fans in my laptop at small and loud. I started using this and haven't heard the laptop fans at all. The fans on the cooler are much bigger and significantly more quite."", ""I bought these fans because the fans in my case were getting old. I put the fans in and the were not moving very much air at all and one of the fans sounded like the bearings were going out. After a week I realized my computer was getting too hot and sure enough, the graphic card got too hot and shut off. I put in my old fans and realized they were actually better.<br /><br />I bought some 120mm fans from a better company. I don't recommend Apevia at all.""]"
37,20,37_fitbit_use_phone_automatically,"['fitbit', 'use', 'phone', 'automatically', 'band', 'watch', 'notifications', 'lasts', 'watches', 'smart']","['I purchased my first watch 2years ago and wanted a second one because of the battery life, I live in a senior gated community and tell all seniors to buy one because this watch will sense if you are in trouble and you can hit the button for help.My neighbor came over and thanked me for recommending this watch to her it saved her live because it will monitor you heart,, she told me the watch send her a SOS about her heart being in trouble, she went to the hopsital and it saved her from a heart attack, because of the early warning with this watch. Now I own two when one charges I have a spare one. Thank you to the inventor from Apple.', ""This has a number of nice features, but the manual is printed in such tiny type that it is very difficult to read. Setting up features on the watch is a bit complicated. I never did figure out how to set time and date directly on the watch. There is an application that you can use to make settings and I had to load that application to my cell phone and when I started using the application, the time and day got set automatically. I still haven't figured out some of the features of the watch, as they are not obvious. I got it because it monitors blood pressure and heart rate. Those functions work well so it serves my purpose. This is my first smart watch, so I have nothing to compare it to, but I assume there may be better smart watches that are easier to figure out. Once I learn how to fully use it, I may like it a lot better. I just think the user interface could have been better and you shouldn't need a cell phone application to do basic time and day settings. Perhaps you don't, but there is no obvious way to do it directly on the watch. The free cell phone application that you have to install from the internet also doesn't seem that straightforward to use and I struggled a little with it also. Watch is lightweight and charges up reasonably fast. Available in several colors too."", ""This is my 3rd smart watch. I have had a Kate Spade and Michael Kors one. Those both used Wear OS. In comparison to those watches, I like this one better. It did require me to download more apps on my phone such as Galaxy Wearable. This watch is easy to use. There are 2 controls. The Michael Kors one had 2 controls, too, but their location was always accidently getting bumped which sometimes caused it to restart when I didn't want it to. I have never accidently bumped these buttons. The strap that comes with it barely fits my wrist, but there's an extra longer one that comes with it. It comes with a charger. The watch claims to stay charged for days. Well, technically that's true. I find that it lasts for 2 days so every other day I need to recharge it. My former watches both had to be charged every night, so I am pleased that this lasts a little longer. As far as the fitness aspect, this is better than my other ones. The step tracking seems to be more parallel to what I used to get from my Fitbit. The other smart watches were always really low in my step count which frustrated me. It tracks heart rate and stress levels. You can track fitness routines. The messaging feature is good, but I find it a little more difficult to reply to texts than my other watches. It gives you some quick replies, but I don't like the choices as much as the other ones. Also, I find it more difficult to customize my text replies with the actual typing. Overall, I do like this more than the other ones.""]"
38,20,38_device_external_microphone_button,"['device', 'external', 'microphone', 'button', 'iphone', 'use', 'scam', 'audio', 'using', 'just']","['If you are bothered as we are by unwanted callers, get this box. Once you mark a number as rejected, it will not repeat. We still have the box set in OFF mode, which means it continues to let calls through we have not marked as rejected. The reason is we have not heard from all of our accepted callers as yet. (Once you turn it on, if a call comes in that is not recognized by the box, it plays a message that tries to ward off the caller by asking them to enter zero if they think they are legit -- and call back, whereupon the caller will be admitted for answering. Note: we have NOT tried this feature. I expect it will work as described.)<br /><br />The box can handle up to 10,000 numbers, which is great. In a month we have received 92 calls and rejected 66. So you see it has helped us tremendously with unwanted callers. A must-have if you are weary of putting up with incessant pointless calls.', ""The device worked well for me, but after 4 months, they shut off my Magicjack for violation of terms of service. It took a bit of effort to find out what was violated and they claimed excessive use. There is no support number; you have to get support online only with live chat or from their knowledge base. There is a billing questions number and you can call that. That's the only way to get a live person, but they only want you to call it for billing questions.<br /><br />The problem is you have no idea what constitutes excessive use or when you might be exceeding their limits. The terms of service says if your usage exceeds 20 times more than the average customer or more than 50 calls a day you have violated the terms. The 50 calls is easy to quantify, but what about the 20 times more than the average? The terms also say it is not limited to just this criteria, so you have no clue what other criteria they might use to decide that you have had excessive use. There is no way to know what that is. Instead of just suspending your service for a while, they cut you off permanently with no recourse. You lose any remaining time you may have paid for.<br /><br />If you are a light phone user, MagicJack may be okay for you, but don't expect to be on the phone for a lot of time or they may cut you off for excessive use, with no recourse, since you must agree to the terms of service. I would never get this device again. Read those terms of service before you agree to use this device."", 'Honestly I haven\'t had any calls that I would identify as scam calls since I installed this. The problem is that I haven\'t been home a lot, so calls may be coming in and I am just not here to get them. Of course I still get plenty of sales calls from somewhat legitimate companies from numbers that obviously aren\'t stored in the machine already. When you receive a call, there is a BLOCK NOW button you can press to block the call in the future. Unfortunately it only works about half the time. Can\'t say that I have ever gotten ""#2"" from any of my phones to work, which is supposed to also block calls, as well as pushing the BLOCK NOW button. The price is probably not worth it for a device that only partly solves the problem. There are probably less expensive ways to deal with unwanted calls, although I don\'t have a good solution, which is why I got this device. Granted my phone system is set up a little strange, so that could be part of the problem with this working as well as it could. Also, the device needs a way to be updated to add more scam numbers as they are identified. Seems to me that in a few years there could be many more numbers that aren\'t already stored in the unit. The unit is a great idea, but it needs some work. Probably works best with just one or two telephones, but I have phones all over the house; some are corded and some are cordless. I have great hopes for the next model of this device if they make some good improvements. Can\'t quite recommend it yet, unless you have an extreme problem with unwanted calls. It probably will cut down on the unwanted calls, so might be worth it to get it, even if it helps only a little.']"
39,20,39_adapter_quality_amscope_reflector,"['adapter', 'quality', 'amscope', 'reflector', 'description', 'approved', 'telescope', 'optics', 'service', 'product']","[""I have several pairs of regular binoculars. What piqued my interest with these is that the description said they had night vision capability. After they arrived I was disappointed to learn that they did not have night vision but rather low light vision. Since then, the product description has been changed and no longer says night vision. Had I known that in the beginning, I would not have ordered these because I don't need another pair of traditional binoculars. As far as performance, they're fine as regular binoculars. The low light vision is fine, but not any different than what I have with my other binoculars."", ""This isn't a good first telescope, if the intent is to introduce and encourage someone to pursue the hobby of astronomy further. The images were fuzzy and distorted and varied in focus across the field of view. Any reflector telescope, even this small one, requires the mirrors to be precisely aligned (collimated) to get sharp images. Out of the box, the two mirrors were not aligned well. I did take it apart. I unscrewed the primary mirror holder from the bottom and drilled out larger diameter holes so that I could adjust the positioning of primary mirror I reseated the secondary mirror (below the eyepiece) which was not level. The 3 existing screws in the secondary mirror can be adjusted to adjust the alignment of the secondary mirror. After some manual collimation, the image is now much better. Stars no longer look like fuzzy balls. But this process isn't easily done in this telescope, nor is it described in the included instructions. Reflector telescopes can be quite persnickety because of their need to be precisely adjusted. My advice is to either spend more money on an reflector which has better optics which can be collimated, or choose a refractor telescope which I think is easier to use for a beginner and doesn't require such adjustments such as this one for not much higher cost:<br />Celestron 21035 70mm Travel Scope https://www.amazon.com/dp/B001TI9Y2M/ref=cm_sw_r_other_taa_QTn5zbPV2FBNX"", 'First & most offensive: they reek of gasoline so if you are sensitive/allergic to petroleum products like I am you will want to pass on these. Second: the phone adapter is useless as-is. Mine was not drilled far enough to be able to tighten it into place for my iPhone 12 max. It just slipped & slid all over. Stupid me putting the adapter together first without picking up the binoculars to smell them bc I wasted 15 minutes trying to figure out how to put the adapter together bc it does not come with instructions! I had to come back here to the website which was a total pain. Third: the tripod is also useless. I would not trust the iOS to hold my $1600 phone nor even a Mattel Barbie for that matter. It’s just inefficient for the job imo. Third: in order to try to give an honest review I did don gloves & eyewear to check the binoculars out. They seemed average except for mine seemed to be missing about 10% of the film costing in the lower edge of one of the lenses which would have ruined every video & photograph unplanned to take so for me these are a very huge hard pass. I expect the accessories that come with the main product to be as good or better than the product I’m buying. Otherwise I would just buy the product as a stand alone. Sadly, I found a decent pair of binoculars last year with a much better quality phone adapter & tripod, but they had a defect too. Guess I’m going to have to pay more. Ugh.']"
